Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ALB,2022,expost,4,1.001,12.58,,,,,,,
ALB,2022,expost,7,1.047,7.01,,,,,,,
ALB,2022,expost,8,0.484,4.18,,,,,,,
ALB,2022,expost,9,1.468,10.67,,,,,,,
ALB,2022,expost,10,1.5,6.98,,,,,,,
ALB,2022,expost,13,0.998,4.85,,,,,,,
ALB,2022,expost,16,0.724,17.81,,,,,,,
ALB,2022,expost,17,1.704,3.03,,,,,,,
ALB,2022,expost,19,0.915,16.83,,,,,,,
ALB,2022,expost,20,1.027,9.14,,,,,,,
ALB,2022,expost,21,0.678,6.92,,,,,,,
