"","var","cat","value","value2"
"1","Sex","0",58837.8839036351,4.65180523380013
"2","Sex","1",54420.9290360554,-3.20439675479447
"3","Ethnicity","1",55249.961769541,-1.72984045873045
"4","Ethnicity","2",55823.8276359415,-0.709135856586329
"5","Ethnicity","3",67255.2264300486,19.6232833396943
"6","Ethnicity","4",58928.9464183766,4.81377327079548
"7","Ethnicity","6",58117.3795488457,3.37028257518418
"8","Father_Occ","1",60319.613512391,7.28727864203239
"9","Father_Occ","2",60732.1782449134,8.02108552239159
"10","Father_Occ","3",58794.2500828931,4.57419608461035
"11","Father_Occ","4",55254.1965026514,-1.72230836486033
"12","Father_Occ","5",55873.9969392182,-0.619902393264752
"13","Father_Occ","6",54527.947679214,-3.01404840340631
"14","Father_Occ","7",53735.4521092984,-4.42361799580178
"15","Father_Occ","8",53802.963568762,-4.30353896443476
"16","Mother_Occ","1",59861.4345696521,6.47234019937399
"17","Mother_Occ","2",60044.3834011413,6.79774152604509
"18","Mother_Occ","3",57805.1440784785,2.81492600108528
"19","Mother_Occ","4",59998.8618647328,6.71677479770429
"20","Mother_Occ","5",54963.3282724201,-2.2396601688225
"21","Mother_Occ","6",55663.2735083405,-0.994704918157254
"22","Mother_Occ","7",53980.2838811747,-3.98814878437652
"23","Mother_Occ","8",52886.8150673161,-5.93304342954396
"24","Mother_Edu","1",54380.6772937578,-3.27599038148136
"25","Mother_Edu","2",58302.879129327,3.70022078301091
"26","Mother_Edu","3",57647.9236794659,2.53528646470784
"27","Mother_Edu","4",57165.2488098416,1.67677842369973
"28","Father_Edu","1",55669.2950249318,-0.983994767830382
"29","Father_Edu","2",55734.9467176836,-0.867223604299269
"30","Father_Edu","3",55650.5924436033,-1.01726005149976
"31","Father_Edu","4",62713.664865372,11.5454500664538
